Time,21:50,22:00,22:10,22:20,22:30,22:40,22:50,23:00,23:10
Recruit 310-01,0,0,0,0,0,0,0,0,0
Recruit 310-02,0,0,0,0,0,0,0,0,0
Recruit 311-10,0,0,0,0,0,0,0,0,0
Recruit 311-11,0,0,0,0,0,0,0,0,0
